Avey;Ada;Babylon;K health
0.6;0.5;;0.5
0.6;;;0.286
0.6;;;0.286
0.222;0.8;;0.4
0.364;0.444;;
0.286;0.5;;0.5
0.6;0.333;;0.286
0.2;;;
0.286;;;0.333
0.25;0.4;;
0.364;0.2;;
0.364;0.25;;
0.727;0.4;;0.222
0.545;0.25;;0.444
0.5;;;
0.6;0.2;;
0.6;;;
0.4;0.444;;0.857
0.444;;;
;;;
;;;
0.444;0.286;;0.571
0.25;0.286;;
0.333;;;0.5
0.4;0.286;;0.333
;0.8;;0.8
0.167;;;
;0.286;;0.4
0.571;;;
0.4;0.333;;
0.4;;;
0.25;0.333;;0.4
0.5;;;
0.286;0.4;;0.4
0.333;0.4;;
0.667;0.333;;0.5
0.444;0.25;;0.222
0.286;0.286;;0.333
0.25;0.25;;
;0.4;;0.5
0.25;;0.286;
